Model,Accuracy,F1_Score
gsExtC,0.7932960893854749,0.7131782945736433
gsRFC,0.7877094972067039,0.6885245901639344
gsLDA,0.7877094972067039,0.7246376811594203
gsGBC,0.770949720670391,0.6917293233082706
