Model,Accuracy,F1_Score
gsExtC,0.8100558659217877,0.7343750000000001
gsGBC,0.8044692737430168,0.7368421052631579
gsRFC,0.7932960893854749,0.7040000000000001
gsLDA,0.776536312849162,0.7101449275362318
